0,1,3,4
GPL24052,"ID,SPOT_ID",,
GPL25569,"ID,SEQUENCE,SPOT_ID,Gene,GeneName",,
GPL26356,"ID,ENTREZ_GENE_ID",ENTREZ_GENE_ID,entrez
GPL25703,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GENE_SYMBOL,ACCESSION_STRING,DESCRIPTION,SEQUENCE",GENE_SYMBOL,symbol
GPL26345,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,SEQUENCE",,
GPL21700,"ID,ProbeName,SEQUENCE,Feature.Type,BioType,Description,Entrez.Gene.ID,Symbol,Source,Chr,Strand,Start,End,AnnotationMethod,Primary.Accession,Ensembl.ID,GO.ID,GO.Term,SourceLink,Xref,ORF,SPOT_ID",Entrez.Gene.ID,entrez
GPL26395,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,REFSEQ,GB_ACC,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",GB_ACC,genbank
GPL26391,"ID,SPOT_ID,Description,Entrez Gene ID,SEQUENCE",Entrez Gene ID,entrez
GPL26355,"ID,SPOT_ID,CONTROL_TYPE,REFSEQ,GB_ACC,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,UNIGENE_ID,ENSEMBL_ID,TIGR_ID,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION,GO_ID,SEQUENCE",GENE_SYMBOL,symbol
GPL26371,"ID,Exiqon ID,NAME,SPOT_ID,miRNA_ID_LIST,Sequence",,
GPL26381,"ID,SPOT ID,GB LIST,TYPE,SEQUENCE",,
GPL17381,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,DESCRIPTION",GENE_SYMBOL,symbol
GPL24052,"ID,SPOT_ID",,
GPL25569,"ID,SEQUENCE,SPOT_ID,Gene,GeneName",,
GPL26356,"ID,ENTREZ_GENE_ID",ENTREZ_GENE_ID,entrez
GPL25703,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GENE_SYMBOL,ACCESSION_STRING,DESCRIPTION,SEQUENCE",GENE_SYMBOL,symbol
GPL26345,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,SEQUENCE",,
GPL21629,"ID,Mycroarray_CLONE_ID,ORF,GENE DESCRIPTION,SEQUENCE",ORF,entrez
GPL25621,"ID,SPOT_ID,Block,Row,Column,Probe_Name,Gene_ID,Chromosome,Gene_Start,Gene_End,Strand,Exon_ID,Exon_Start,Exon_End,Associated Gene Name,Gene Description,Biotype,SEQUENCE",Associated Gene Name,assoc_gene
GPL26309,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL26118,"ID,COL,ROW,NAME,ACCESSION_STRING,PROBE_NAME,ORF,SPOT_ID,SEQUENCE",ORF,entrez
GPL26258,"ID,PT_GI,Gene.name,Gene.category,Sub.category1,Sub.category2,Lineage",,
GPL25450,"ID,SEQ_ID,REPLICATE,SPOT_ID,GENOME_ACC",,
GPL21555,"ID,Name,miRNA_ID,SPOT_ID",,
GPL25764,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL26232,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION",GENE_SYMBOL,symbol
GPL25422,"ID,SPOT_ID,CHROMOSOME,RANGE_GB,RANGE_START,RANGE_END,SEQUENCE",,
GPL25520,"ID,miRNA name,SPOT_ID",,
GPL26224,"ID,Index,SEQUENCE,Group,Reporter Control Type,miRNA_ID,Comment,Reporter Source,Accession No.,mouse ID,SPOT_ID",,
GPL24480,"ID,ORGANISM,MtGenomeID_Annotation,Annotation,SPOT_ID",,
GPL25329,"ID,SPOT_ID",,
GPL25505,"ID,ORF,SEQUENCE,SPOT_ID,SystematicName",ORF,entrez
GPL26193,"ID,SPOT_ID,CONTROL_TYPE,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL26227,"ID,ENTREZ_GENE_ID,Description,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL24316,"ID,COL,ROW,NAME,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE,SPOT_ID",,
GPL26217,"ID,SPOT_ID,Description",,
GPL26142,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
